Clave entidad,Clave municipio,Clave localidad,Nombre de la localidad,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
15,106,0112,San Miguel Totoltepec,"5,613","5,830","6,045","6,263","6,483","6,706","6,932","7,161","7,392","7,626","7,862","8,100","8,341","8,583","8,826","9,071","9,318","9,565","9,813","10,062","10,310"
15,106,0113,Colonia el Refugio,"1,836","1,933","2,031","2,132","2,237","2,345","2,456","2,571","2,689","2,812","2,937","3,067","3,200","3,337","3,477","3,622","3,770","3,921","4,077","4,236","4,399"
15,106,0114,El Cerrillo Piedras Blancas,"2,037","2,123","2,208","2,294","2,382","2,471","2,562","2,655","2,748","2,844","2,941","3,039","3,138","3,239","3,341","3,444","3,548","3,653","3,759","3,866","3,974"
15,106,0127,Jicaltepec Autopan,"5,363","5,511","5,654","5,795","5,935","6,073","6,211","6,347","6,482","6,616","6,748","6,878","7,006","7,132","7,257","7,378","7,498","7,615","7,729","7,840","7,948"
15,106,0143,Barrio Bordo Nuevo,"1,763","1,855","1,949","2,047","2,147","2,250","2,357","2,468","2,581","2,698","2,819","2,943","3,071","3,203","3,337","3,476","3,618","3,764","3,913","4,066","4,222"
15,106,0148,Barrio de Jesús Fracción Primera,"2,230","2,308","2,385","2,462","2,539","2,617","2,695","2,774","2,853","2,933","3,013","3,093","3,173","3,253","3,334","3,414","3,494","3,574","3,653","3,732","3,810"
15,106,0155,San Diego los Padres Cuexcontitlán Sección 5 B,"3,326","3,455","3,582","3,711","3,842","3,974","4,108","4,244","4,381","4,520","4,660","4,801","4,944","5,087","5,232","5,377","5,523","5,670","5,817","5,965","6,112"
15,106,0177,La Planada (El Arenal),"1,146","1,206","1,267","1,331","1,396","1,463","1,533","1,604","1,678","1,754","1,833","1,914","1,997","2,082","2,170","2,260","2,352","2,447","2,544","2,643","2,745"
15,106,0194,Barrio Santa Cruz,"3,854","3,995","4,133","4,273","4,414","4,555","4,699","4,843","4,989","5,135","5,283","5,431","5,580","5,729","5,879","6,029","6,180","6,330","6,480","6,630","6,779"
15,106,0220,Fraccionamiento Real de San Pablo,"3,044","3,078","3,108","3,135","3,159","3,182","3,202","3,221","3,237","3,251","3,264","3,274","3,282","3,288","3,292","3,295","3,295","3,293","3,289","3,284","3,276"
15,106,9999,Resto,"35,894","37,103","38,312","39,550","40,820","42,125","43,467","44,846","46,263","47,719","49,213","50,748","52,322","53,937","55,592","57,288","59,024","60,801","62,618","64,476","66,373"
